AÑO,CÓDIGO_MUNICIPIO,MUNICIPIO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2021,68211,Contratación,68,Santander,3.8080000000000003,Santander (ETC),608,94.74,94.74,61.7,82.38,94.29,65.42,104.28,78.72,95.49,120.0,104.67,,,2.43,0.0,2.15,2.86,2.94,88.98,0.0,94.85,78.78,96.08,8.59,0.0,3.0,18.37,0.98,3.89,0.0,1.72,5.71,5.88
2015,52685,San Bernardo,52,Nariño,3798.0,Nariño (ETC),3700,32.43,32.43,19.65,33.56,27.92,12.05,37.73,33.33,40.95,41.96,24.55,21.88,60.0,0.23,,0.33,0.22,,99.7,0.0,99.67,99.78,99.39,0.08,0.0,0.0,0.0,0.61,,2.11,6.62,,3.64
2019,25339,Gutiérrez,25,Cundinamarca,3785.0,Cundinamarca (ETC),706,87.25,87.25,67.21,90.38,70.13,42.28,95.47,95.08,103.09,98.27,72.36,,,4.49,5.17,3.67,5.24,5.13,95.2,0.0,96.33,94.76,92.31,0.31,0.0,0.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0
2022,25772,Suesca,25,Cundinamarca,3785.0,Cundinamarca (ETC),3786,75.67,75.65,68.52,75.99,63.88,37.38,81.51,87.65,86.97,85.63,57.38,,,6.17,3.56,4.19,9.02,7.12,88.42,0.4,91.46,81.47,91.74,5.41,0.4,4.35,9.51,1.14,8.45,1.19,9.47,10.7,3.42
2018,81591,Puerto Rondón,81,Arauca,3824.0,Arauca (ETC),971,77.43,82.7,66.27,94.38,55.17,23.13,93.82,97.59,131.54,72.1,38.75,,,3.34,6.17,2.36,4.35,3.23,96.66,0.0,97.64,95.65,96.77,0.0,0.0,0.0,0.0,0.0,2.62,0.0,2.36,3.91,3.23
2022,50287,Fuente de Oro,50,Meta,3796.0,Meta (ETC),2754,82.75,82.75,66.51,83.48,66.63,35.21,88.93,96.28,99.38,91.79,54.0,,,3.5,2.6,2.03,5.76,3.2,89.19,0.0,92.51,81.62,93.2,7.31,0.0,5.45,12.62,3.6,9.32,0.0,8.41,13.85,5.6
2021,27660,San José del Palmar,27,Chocó,3.7889999999999997,Chocó (ETC),1.251,79.54,79.54,46.6,77.33,64.22,30.85,86.33,78.64,98.86,86.02,58.21,,,8.98,8.64,4.43,12.4,21.05,77.5,1.23,83.24,71.07,60.0,13.52,1.23,12.33,16.53,18.95,7.47,0.0,8.29,8.82,4.21
2011,54405,Los Patios,54,Norte de Santander,3801.0,Norte de Santander (ETC),16719,75.61,75.5,70.7,81.4,57.1,34.3,84.3,83.6,96.3,82.3,61.0,24.69,61.54,7.92,7.91,7.13,8.99,8.05,91.57,0.39,91.96,90.95,91.69,0.51,0.39,0.9,0.06,0.25,0.65,0.0,0.37,1.26,0.42
2020,54128,Cachirá,54,Norte de Santander,3801.0,Norte de Santander (ETC),2594,68.39,68.39,48.5,68.85,54.2,31.48,73.25,66.5,84.28,70.88,53.94,,,3.16,2.26,2.55,3.95,3.86,89.63,6.77,90.9,86.89,91.42,7.21,6.77,6.55,9.16,4.72,4.84,0.0,2.0,7.58,11.16
2017,25612,Ricaurte,25,Cundinamarca,3785.0,Cundinamarca (ETC),1809,89.1,89.11,72.61,89.72,74.53,34.47,98.51,96.82,104.94,109.29,64.91,30.774,35.71,3.51,0.99,1.89,5.84,3.31,94.01,0.0,97.01,89.73,94.04,2.48,0.0,1.1,4.42,2.65,7.3,3.96,4.87,11.15,5.3
2015,52490,Olaya Herrera,52,Nariño,3798.0,Nariño (ETC),9696,63.49,63.49,26.67,63.09,30.19,6.0,87.69,53.23,105.7,92.99,48.58,,9.68,0.4,,0.5,0.31,0.42,99.5,0.0,99.46,99.47,99.58,0.09,0.0,0.05,0.22,0.0,0.0,0.0,0.0,0.0,0.0
2011,68190,Cimitarra,68,Santander,3808.0,Santander (ETC),10413,72.71,72.7,59.1,77.0,48.5,22.6,88.0,84.9,106.7,84.0,48.4,18.99,9.35,6.08,5.96,5.76,7.21,4.23,91.86,0.85,92.86,89.31,92.34,2.06,0.85,1.39,3.48,3.43,0.26,0.0,0.44,0.05,0.0
2018,5585,Puerto Nare,5,Antioquia,3758.0,Antioquia (ETC),2914,58.97,82.6,52.32,74.81,71.28,38.75,90.87,70.04,97.94,97.96,68.75,,,3.71,3.01,2.94,4.99,3.36,86.43,0.6,84.79,85.71,89.93,9.86,0.6,12.27,9.3,6.72,5.67,1.2,6.22,7.26,0.75
2022,68320,Guadalupe,68,Santander,3808.0,Santander (ETC),852,97.07,97.07,77.59,91.76,86.97,80.27,106.57,91.38,102.06,108.79,118.37,,,1.63,3.77,0.58,2.9,0.68,93.59,0.0,96.83,88.06,96.62,4.78,0.0,2.59,9.03,2.7,4.43,0.0,3.46,6.77,3.38
2023,76001,Cali,76,Valle del Cauca,3818.0,Cali,382285,80.91,80.63,63.15,77.92,69.84,49.0,89.29,79.19,89.16,91.62,89.84,,,5.03,4.87,4.8,5.96,3.47,86.57,1.33,89.1,80.79,89.55,8.4,1.33,6.1,13.25,6.98,8.67,4.83,8.31,11.85,3.8
2020,68498,Ocamonte,68,Santander,3808.0,Santander (ETC),1163,68.87,68.87,49.45,68.68,61.21,40.31,72.4,64.84,78.29,76.83,52.55,,,0.24,0.0,0.27,0.34,0.0,97.1,0.0,99.73,93.6,95.83,2.66,0.0,0.0,6.06,4.17,4.59,0.0,3.47,8.08,1.04
2019,5736,Segovia,5,Antioquia,3758.0,Antioquia (ETC),8806,87.15,87.13,57.56,88.93,68.64,30.59,103.91,76.71,116.78,108.64,76.09,,,6.02,4.51,5.56,7.89,3.07,92.35,0.0,91.71,91.99,94.94,1.63,0.0,2.73,0.13,1.99,1.59,0.0,0.63,3.9,0.0
2017,23500,Moñitos,23,Córdoba,3781.0,Córdoba (ETC),7429,85.6,85.57,34.12,75.36,74.01,38.68,100.28,83.53,105.04,107.26,81.74,19.059,48.78,2.16,2.7,1.44,2.34,4.07,97.84,0.0,98.56,97.66,95.93,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.67,0.73,0.51
2020,54385,La Esperanza,54,Norte de Santander,3801.0,Norte de Santander (ETC),3169,84.29,84.29,58.33,79.29,69.01,31.54,89.56,78.13,99.56,95.41,55.39,,,5.01,4.0,4.09,6.35,5.62,89.32,1.33,90.14,86.58,90.64,5.68,1.33,5.77,7.07,3.75,3.1,0.0,2.99,4.41,1.5
2018,5411,Liborina,5,Antioquia,3758.0,Antioquia (ETC),1998,99.95,91.69,49.02,83.42,78.2,46.94,104.95,71.24,107.25,117.88,88.63,,,1.65,2.75,0.58,3.03,0.91,98.03,0.0,99.19,96.39,99.09,0.32,0.0,0.23,0.58,0.0,5.69,2.75,5.93,7.08,1.83
2016,15808,Tinjacá,15,Boyacá,3769.0,Boyacá (ETC),667,70.9,70.91,56.6,67.87,66.52,32.71,77.66,75.47,78.34,83.91,63.55,22.438000000000002,18.18,3.67,2.5,0.92,6.22,5.88,92.47,0.0,98.16,84.46,94.12,3.86,0.0,0.92,9.33,0.0,0.0,0.0,0.0,0.0,0.0
2011,5854,Valdivia,5,Antioquia,3758.0,Antioquia (ETC),5688,73.07,73.1,51.6,85.3,30.7,8.6,86.3,64.3,150.4,47.0,16.0,23.07,70.0,3.99,3.29,2.26,10.37,2.63,95.23,0.0,97.25,87.82,95.39,0.78,0.0,0.5,1.8,1.97,0.05,0.0,0.0,0.24,0.0
2021,70823,Toluviejo,70,Sucre,3.813,Sucre (ETC),4.815,97.4,97.4,75.38,94.4,78.69,43.1,109.72,121.28,118.87,111.95,77.66,,,0.72,1.11,0.82,0.51,0.68,92.57,0.0,95.09,88.64,90.12,6.71,0.0,4.09,10.85,9.2,2.9,0.22,1.96,5.14,1.7
2017,25224,Cucunubá,25,Cundinamarca,3785.0,Cundinamarca (ETC),1961,73.3,73.28,45.78,76.9,60.12,43.0,79.4,69.28,88.1,77.95,63.48,12.444,47.06,1.62,4.35,1.36,1.91,0.0,92.64,0.0,95.51,87.29,93.04,5.74,0.0,3.13,10.81,6.96,3.58,0.87,3.27,5.51,1.27
2023,44560,Manaure,44,La Guajira,3792.0,La Guajira (ETC),29373,98.21,98.21,87.44,99.47,45.78,13.81,109.58,135.21,144.9,86.23,40.32,,,3.44,3.42,3.03,4.34,3.84,82.46,4.53,82.59,76.86,88.3,14.09,4.53,14.39,18.8,7.86,18.74,12.19,20.72,19.23,7.42
2019,15764,Soracá,15,Boyacá,3769.0,Boyacá (ETC),1403,119.17,119.17,57.89,91.55,124.1,88.84,133.5,75.44,107.94,166.6,160.71,,,2.78,1.16,0.94,4.09,5.0,84.87,0.0,87.95,85.04,70.0,12.34,0.0,11.11,10.87,25.0,2.34,0.0,5.79,0.0,0.0
2015,13673,Santa Catalina,13,Bolívar,3767.0,Bolívar (ETC),3332,94.57,94.51,46.96,88.75,80.66,42.0,109.6,100.68,115.3,114.18,89.4,24.71,66.67,2.56,3.47,2.84,2.12,1.94,94.91,5.21,92.78,97.88,98.06,2.53,5.21,4.39,0.0,0.0,0.88,0.0,0.68,1.66,0.0
2017,68167,Charalá,68,Santander,3808.0,Santander (ETC),2171,103.5,103.5,48.62,94.52,98.06,72.11,120.31,93.92,109.54,136.65,128.17,23.55,25.0,1.81,3.53,0.2,3.05,2.41,94.31,8.24,97.8,92.19,92.76,3.87,8.24,2.0,4.75,4.83,1.4,1.18,1.0,2.15,0.8
2016,15511,Pachavita,15,Boyacá,3769.0,Boyacá (ETC),481,75.5,75.47,89.47,77.23,71.86,31.08,82.12,92.11,82.18,88.62,62.16,19.583,18.18,3.19,2.86,0.6,3.65,13.16,91.76,0.0,93.37,89.78,86.84,5.05,0.0,6.02,6.57,0.0,4.52,0.0,1.2,8.03,10.53
2016,20383,La Gloria,20,Cesar,3779.0,Cesar (ETC),3315,99.8,99.79,64.13,105.13,67.17,38.87,107.93,126.45,135.71,88.52,64.45,26.689,21.62,5.29,8.31,4.94,6.06,1.4,89.31,1.72,89.65,86.81,94.41,5.4,1.72,5.41,7.13,4.2,0.32,0.29,0.42,0.21,0.0
2017,68152,Carcasí,68,Santander,3808.0,Santander (ETC),930,86.7,86.67,58.14,80.95,84.41,48.67,97.85,75.58,90.98,117.63,90.0,21.462,19.35,1.3,3.08,0.0,2.58,0.93,91.37,0.0,92.56,87.1,96.3,7.33,0.0,7.44,10.32,2.78,1.77,0.0,1.38,2.9,0.93
2012,73152,Casabianca,73,Tolima,3815.0,Tolima (ETC),1617,76.93,76.9,72.2,70.8,59.2,36.3,82.8,96.0,96.7,72.9,56.3,17.96,22.22,4.09,2.48,3.36,5.99,3.62,90.13,0.0,88.84,88.54,94.2,5.78,0.0,7.8,5.47,2.17,1.08,0.0,0.76,1.82,1.45
2022,5038,Angostura,5,Antioquia,3758.0,Antioquia (ETC),2414,71.21,71.21,56.85,66.04,58.84,39.85,80.36,84.77,80.38,85.29,68.32,,,3.65,2.99,2.48,5.69,2.86,91.33,0.0,88.85,91.71,94.69,5.02,0.0,8.67,2.6,2.45,5.18,0.0,9.54,2.76,0.41
2019,5660,San Luis,5,Antioquia,3758.0,Antioquia (ETC),2983,94.2,94.2,80.75,89.52,77.03,47.06,102.11,92.83,107.38,109.17,77.78,,,2.51,2.85,2.24,3.11,1.48,90.67,0.0,93.06,85.09,91.85,6.82,0.0,4.7,11.8,6.67,3.25,0.0,3.18,5.04,0.37
2016,19701,Santa Rosa,19,Cauca,3777.0,Cauca (ETC),2639,40.2,40.2,24.44,40.37,30.27,13.04,44.52,36.0,51.69,45.01,29.98,12.579,61.76,3.74,3.7,1.06,6.05,8.4,92.68,0.0,95.76,89.17,87.79,3.57,0.0,3.18,4.79,3.82,0.17,0.0,0.35,0.0,0.0
2022,73563,Prado,73,Tolima,3815.0,Tolima (ETC),1593,99.25,99.25,46.15,95.9,92.58,54.89,109.04,83.85,108.21,123.38,94.36,,,2.94,0.0,1.19,5.92,0.98,93.74,0.0,95.25,89.92,97.55,3.32,0.0,3.57,4.16,1.47,3.75,0.0,2.97,5.92,1.47
2017,25489,Nimaima,25,Cundinamarca,3785.0,Cundinamarca (ETC),1505,35.3,35.35,21.21,30.78,29.82,19.17,42.46,33.33,37.81,52.13,40.0,8.015,25.0,3.82,9.09,3.31,4.02,1.54,96.18,0.0,96.69,95.98,98.46,0.0,0.0,0.0,0.0,0.0,4.18,2.27,2.89,6.03,4.62
2017,5642,Salgar,5,Antioquia,3758.0,Antioquia (ETC),4143,73.0,73.04,52.42,75.92,43.94,20.85,82.94,76.07,106.2,71.47,47.55,26.243000000000002,15.38,8.34,8.99,6.98,12.33,3.96,87.9,0.0,89.26,81.82,95.54,3.77,0.0,3.76,5.85,0.5,9.21,1.5,11.72,8.09,0.99
2023,68264,Encino,68,Santander,3808.0,Santander (ETC),570,61.58,61.58,50.0,61.63,57.67,31.11,71.23,78.26,66.94,83.07,54.44,,,2.71,2.78,0.61,2.29,13.16,93.5,0.0,96.34,90.84,86.84,3.79,0.0,3.05,6.87,0.0,2.98,0.0,5.49,0.76,2.63
2011,15638,Sáchica,15,Boyacá,3769.0,Boyacá (ETC),1036,80.02,80.0,78.4,74.9,70.5,35.9,85.5,97.7,86.7,92.4,60.3,22.66,50.0,3.07,1.16,2.82,3.26,5.32,91.61,0.0,93.85,85.14,94.68,5.32,0.0,3.33,11.59,0.0,1.06,0.0,0.51,2.54,0.0
2015,23189,Ciénaga de Oro,23,Córdoba,3781.0,Córdoba (ETC),15055,78.17,78.17,49.38,75.53,63.54,32.45,90.02,99.84,95.13,90.95,69.76,21.29,56.67,0.95,1.59,0.52,1.47,0.6,98.54,0.0,99.41,97.58,97.81,0.51,0.0,0.07,0.94,1.59,4.73,,3.79,4.98,2.95
2023,91530,Puerto Alegría,91,Amazonas,3828.0,Amazonas (ETC),211,65.4,65.4,40.91,63.64,37.5,0.0,68.72,77.27,96.97,50.0,0.0,,,1.38,0.0,0.0,6.25,0.0,91.03,0.0,90.63,87.5,0.0,7.59,0.0,9.38,6.25,0.0,18.62,29.41,19.79,9.38,0.0
2016,47541,Pedraza,47,Magdalena,3794.0,Magdalena (ETC),1952,106.9,106.92,87.43,105.95,78.76,35.44,116.14,156.29,132.65,111.01,62.34,26.776,84.62,3.66,3.45,2.93,4.47,5.08,92.77,0.0,95.52,87.01,93.4,3.57,0.0,1.56,8.52,1.52,9.7,27.97,7.69,8.24,2.03
2014,44110,El Molino,44,La Guajira,3792.0,La Guajira (ETC),1808,60.62,86.16,58.02,68.1,66.83,52.71,70.35,47.93,82.99,72.46,44.95,20.54,25.0,5.97,2.47,5.24,7.67,6.14,94.03,0.0,94.76,92.33,93.86,0.0,0.0,0.0,0.0,0.0,2.55,3.7,3.07,2.05,0.88
2019,73226,Cunday,73,Tolima,3815.0,Tolima (ETC),1703,98.36,98.36,62.12,86.89,98.46,56.89,109.92,90.15,101.99,126.79,103.89,,,3.13,5.04,1.96,4.34,2.16,90.16,0.0,92.88,85.55,93.07,6.71,0.0,5.17,10.12,4.76,0.06,0.0,0.0,0.14,0.0
2020,47541,Pedraza,47,Magdalena,3794.0,Magdalena (ETC),2161,94.91,94.91,82.16,96.75,65.31,43.99,106.94,112.43,118.74,97.61,91.5,,,1.0,0.0,0.73,1.54,1.57,95.65,0.0,95.71,94.45,94.9,3.35,0.0,3.56,4.01,3.53,7.38,6.73,8.03,8.6,1.96
2018,20517,Pailitas,20,Cesar,3779.0,Cesar (ETC),4518,97.11,87.85,62.82,87.7,70.61,35.71,96.61,105.92,107.3,95.6,67.99,,,4.38,3.11,3.34,5.79,5.16,91.48,0.0,93.64,87.29,91.93,4.13,0.0,3.02,6.93,2.91,1.13,0.62,0.6,2.0,0.89
2011,52687,San Lorenzo,52,Nariño,3798.0,Nariño (ETC),4493,81.06,81.1,43.2,88.7,55.5,27.9,90.2,62.3,116.7,81.5,58.2,22.09,12.5,10.05,5.26,11.51,11.75,,89.62,0.0,88.35,88.16,97.71,0.34,0.0,0.14,0.09,2.29,0.46,0.0,0.57,0.53,0.0
2020,23672,San Antero,23,Córdoba,3781.0,Córdoba (ETC),7687,86.94,86.9,60.2,79.98,72.16,39.36,98.35,126.24,99.12,102.53,72.09,,,1.59,1.0,0.96,2.58,1.49,95.81,19.3,98.42,97.06,98.13,2.6,19.3,0.63,0.36,0.37,7.18,4.76,7.72,9.21,1.24
2013,85162,Monterrey,85,Casanare,3825.0,Casanare (ETC),3574,105.54,105.5,85.4,97.6,94.2,62.4,118.3,102.7,112.5,131.5,114.0,29.18,46.67,4.19,4.98,2.93,5.83,3.42,94.53,0.0,96.28,91.94,95.63,1.28,0.0,0.79,2.23,0.95,0.0,0.0,0.0,0.0,0.0
2013,25885,Yacopí,25,Cundinamarca,3785.0,Cundinamarca (ETC),3771,72.0,72.0,40.6,71.2,57.6,28.0,87.4,56.2,105.0,92.2,52.0,5.37,12.28,2.98,5.08,2.08,3.58,4.3,96.88,0.0,97.85,96.42,94.62,0.14,0.0,0.07,0.0,1.08,2.26,1.13,3.47,1.12,0.36
2012,15001,Tunja,15,Boyacá,3770.0,Tunja,40318,85.41,85.3,71.9,82.7,76.7,50.7,94.5,100.1,92.8,99.2,86.4,23.57,25.0,2.33,1.9,1.69,3.24,1.87,97.16,0.0,98.06,95.9,97.56,0.51,0.0,0.25,0.86,0.57,4.95,0.52,1.83,9.19,4.7
2018,73026,Alvarado,73,Tolima,3815.0,Tolima (ETC),1665,77.06,87.99,55.64,86.58,81.42,38.41,94.23,84.96,103.1,103.72,59.17,,,4.65,4.42,2.58,7.34,4.09,86.93,0.88,91.56,79.01,90.06,8.41,0.88,5.87,13.65,5.85,0.96,0.0,0.57,1.71,0.58
2013,50226,Cumaral,50,Meta,3796.0,Meta (ETC),4316,112.33,112.3,84.4,103.8,100.7,60.1,119.4,108.4,122.8,131.8,92.5,48.78,52.94,6.38,4.73,4.6,8.93,7.04,93.62,0.0,95.4,91.07,92.96,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.64,0.24,0.17
2022,5318,Guarne,5,Antioquia,3758.0,Antioquia (ETC),8630,83.19,83.17,72.36,82.36,73.41,37.85,91.87,87.94,94.36,99.58,72.99,,,4.38,5.05,4.39,4.69,2.91,93.09,0.0,93.37,91.81,94.58,2.52,0.0,2.24,3.5,2.51,6.43,0.7,5.92,9.54,3.17
2019,52540,Policarpa,52,Nariño,3798.0,Nariño (ETC),1905,115.54,115.54,94.53,119.58,86.24,31.28,128.66,124.22,162.64,126.79,68.18,,,1.48,3.14,1.71,0.98,0.9,95.98,0.0,96.23,94.71,98.65,2.54,0.0,2.05,4.31,0.45,5.08,1.26,6.42,5.04,0.9
2013,73030,Ambalema,73,Tolima,3815.0,Tolima (ETC),1494,88.55,88.6,80.2,90.5,69.8,29.3,96.1,141.4,111.8,89.7,54.5,43.88,50.0,4.25,4.46,2.42,5.93,6.9,88.92,0.0,93.19,81.36,86.9,6.83,0.0,4.39,12.71,6.21,5.64,0.0,5.9,8.05,2.76
2018,15187,Chivatá,15,Boyacá,3769.0,Boyacá (ETC),614,26.99,66.78,40.0,61.96,62.11,38.64,76.55,58.33,73.55,83.16,84.09,,,1.28,5.71,0.0,1.9,1.35,83.19,0.0,88.67,74.05,82.43,15.53,0.0,11.33,24.05,16.22,2.77,0.0,5.42,1.27,0.0
2023,76622,Roldanillo,76,Valle del Cauca,3817.0,Valle del Cauca (ETC),6886,76.92,76.85,53.67,72.4,68.08,56.76,86.16,76.45,82.07,88.65,94.91,,,3.6,3.9,2.93,4.88,2.36,91.37,0.0,93.17,88.27,92.05,5.03,0.0,3.9,6.85,5.59,6.88,1.77,5.97,8.77,6.82
2013,5315,Guadalupe,5,Antioquia,3758.0,Antioquia (ETC),1249,101.12,101.1,38.1,92.1,86.1,27.2,111.0,54.0,127.4,133.1,57.3,47.92,47.37,2.82,3.28,1.01,4.68,5.08,89.38,1.64,92.34,86.35,82.2,7.8,1.64,6.65,8.97,12.71,0.35,0.0,0.3,0.58,0.0
2014,95001,San José del Guaviare,95,Guaviare,3830.0,Guaviare (ETC),18573,65.68,83.19,50.92,73.31,62.04,43.56,78.94,60.6,84.86,84.5,62.15,29.92,30.88,2.38,2.87,2.29,2.48,2.08,97.26,2.05,97.63,97.13,97.5,0.37,2.05,0.08,0.39,0.42,2.17,1.74,1.65,3.47,1.0
2016,5088,Bello,5,Antioquia,3760.0,Bello,92630,80.2,80.17,51.65,79.89,66.1,39.29,91.98,64.43,95.05,102.97,76.36,33.056,92.06,4.89,4.05,3.94,6.87,3.12,92.56,0.45,94.12,89.24,94.9,2.55,0.45,1.94,3.9,1.99,2.3,0.45,2.38,3.07,0.5
2015,19075,Balboa,19,Cauca,3777.0,Cauca (ETC),6093,58.48,58.48,29.23,65.78,39.17,19.47,70.08,59.48,82.99,64.57,53.96,16.66,53.73,1.37,3.39,1.25,1.54,,95.99,0.34,94.63,97.1,100.0,2.64,0.34,4.12,1.36,0.0,1.19,0.0,1.15,1.63,1.06
2012,54245,El Carmen,54,Norte de Santander,3801.0,Norte de Santander (ETC),4058,73.16,73.2,52.9,79.8,33.2,15.9,103.4,81.8,127.3,112.8,32.8,26.12,6.93,4.35,2.52,3.84,7.54,1.94,95.55,0.0,96.06,92.29,98.06,0.1,0.0,0.1,0.17,0.0,0.07,0.0,0.1,0.0,0.0
2018,5034,Andes,5,Antioquia,3758.0,Antioquia (ETC),7939,72.09,93.32,68.25,86.61,77.64,39.6,108.11,88.47,110.19,121.84,85.72,,,3.87,3.21,3.73,4.73,2.16,87.16,0.0,87.56,83.66,90.63,8.97,0.0,8.71,11.61,7.22,3.82,1.25,4.49,4.13,1.83
2016,41013,Agrado,41,Huila,3790.0,Huila (ETC),2323,88.9,88.89,52.22,79.43,74.41,46.36,105.17,67.49,100.51,124.67,98.11,30.17,19.05,3.46,2.19,3.95,3.32,2.67,87.82,0.0,86.58,86.42,90.84,8.72,0.0,9.47,10.26,6.49,0.24,0.0,0.1,0.43,0.38
2012,23419,Los Córdobas,23,Córdoba,3781.0,Córdoba (ETC),6362,68.86,68.9,49.5,69.8,48.6,21.6,77.8,70.0,93.9,76.0,43.1,18.84,41.94,2.4,2.93,1.37,4.34,0.98,97.6,0.0,98.63,95.66,99.02,0.0,0.0,0.0,0.0,0.0,1.23,1.71,1.53,0.75,0.74
2022,15238,Duitama,15,Boyacá,3771.0,Duitama,22546,99.33,99.2,82.14,94.7,92.87,66.05,110.76,103.77,103.55,120.6,110.58,,,2.24,3.46,1.63,3.0,1.39,89.98,0.0,93.24,85.0,91.85,7.78,0.0,5.14,12.0,6.76,8.99,0.65,5.45,14.06,8.22
2023,25086,Beltrán,25,Cundinamarca,3785.0,Cundinamarca (ETC),359,91.64,91.64,33.33,80.13,90.68,43.33,106.69,100.0,100.0,130.51,80.0,,,5.06,6.67,4.64,6.43,0.0,94.94,0.0,95.36,93.57,100.0,0.0,0.0,0.0,0.0,0.0,7.3,3.33,7.95,8.57,2.86
2017,25286,Funza,25,Cundinamarca,3785.0,Cundinamarca (ETC),16121,114.6,114.3,80.14,111.17,103.62,75.3,123.53,101.35,122.2,131.41,121.97,33.398,41.18,2.45,3.3,1.46,3.63,2.15,91.37,0.0,96.63,83.05,93.16,6.18,0.0,1.91,13.32,4.69,0.85,0.14,0.26,1.57,1.31
2014,25126,Cajicá,25,Cundinamarca,3785.0,Cundinamarca (ETC),12212,97.98,92.22,76.58,87.07,74.36,61.36,105.02,97.9,106.81,112.69,88.37,22.92,68.75,2.22,2.07,1.41,3.6,0.91,97.5,0.0,98.59,96.4,96.87,0.28,0.0,0.0,0.0,2.22,5.31,1.03,4.92,8.0,1.01
2015,5172,Chigorodó,5,Antioquia,3758.0,Antioquia (ETC),19987,76.52,76.52,52.11,78.33,58.64,27.6,90.28,65.54,106.26,90.66,61.22,34.47,57.45,6.4,5.18,4.74,9.92,4.11,86.04,0.0,88.71,79.64,86.82,7.56,0.0,6.55,10.45,9.06,,1.54,,,3.58
2011,54720,Sardinata,54,Norte de Santander,3801.0,Norte de Santander (ETC),6490,81.8,81.8,63.4,87.2,43.2,22.5,100.6,83.7,126.5,81.5,84.0,17.94,8.33,4.59,4.99,4.16,6.44,0.93,94.47,0.0,94.31,93.56,99.07,0.94,0.0,1.54,0.0,0.0,0.56,0.0,0.65,0.69,0.0
2016,66572,Pueblo Rico,66,Risaralda,3805.0,Risaralda (ETC),3758,109.2,109.23,86.3,103.44,53.21,25.52,142.18,151.02,191.15,104.11,78.5,23.017,23.17,4.26,2.12,1.68,11.01,5.61,95.65,0.0,98.32,88.99,92.98,0.09,0.0,0.0,0.0,1.4,0.81,0.0,0.94,0.92,0.7
2013,47460,Nueva Granada,47,Magdalena,3794.0,Magdalena (ETC),4984,92.76,92.5,45.0,82.4,57.4,24.1,109.1,119.2,145.9,84.6,55.1,35.73,0.0,0.73,0.99,0.74,0.72,0.3,98.98,0.2,99.11,98.63,99.39,0.29,0.2,0.15,0.64,0.3,0.19,0.0,0.22,0.24,0.0
2019,95015,Calamar,95,Guaviare,3830.0,Guaviare (ETC),2292,67.36,67.36,29.17,70.97,49.66,18.38,84.03,60.19,93.85,87.28,65.68,,,3.2,0.77,2.34,5.75,1.56,79.92,1.54,84.49,66.07,84.38,16.89,1.54,13.17,28.17,14.06,1.27,0.0,0.33,3.37,0.78
2014,27450,Medio San Juan,27,Chocó,3789.0,Chocó (ETC),4514,55.8,78.74,63.42,65.35,47.45,30.25,70.87,59.49,85.57,63.88,48.09,20.04,7.69,3.87,5.45,3.12,4.48,5.58,93.25,0.0,92.63,93.87,94.42,2.88,0.0,4.25,1.64,0.0,0.11,0.0,0.19,0.0,0.0
2011,85230,Orocué,85,Casanare,3825.0,Casanare (ETC),2267,116.67,116.7,67.3,119.2,84.3,23.8,133.2,116.8,158.7,139.7,61.1,26.14,5.56,2.64,0.85,2.28,2.93,6.52,91.31,0.0,95.44,83.18,85.87,6.05,0.0,2.28,13.88,7.61,1.63,0.0,0.79,2.93,4.35
2019,76054,Argelia,76,Valle del Cauca,3817.0,Valle del Cauca (ETC),1186,74.2,74.2,60.47,64.73,65.23,43.28,86.93,77.91,76.56,101.92,84.58,,,8.61,4.48,6.5,12.09,6.98,87.84,0.0,91.33,82.42,89.15,3.55,0.0,2.17,5.49,3.88,0.0,0.0,0.0,0.0,0.0
2023,20178,Chiriguaná,20,Cesar,3779.0,Cesar (ETC),7455,93.8,93.76,62.34,88.93,72.88,39.78,104.83,103.44,117.56,103.63,73.51,,,5.62,7.98,4.65,6.75,4.46,88.32,0.0,90.99,84.07,87.87,6.06,0.0,4.37,9.18,7.67,11.74,4.79,12.16,15.1,4.82
