AÑO,CÓDIGO_MUNICIPIO,MUNICIPIO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2012,25845,Une,25,Cundinamarca,3785.0,Cundinamarca (ETC),1880,77.02,77.0,74.2,76.7,72.2,39.8,80.3,77.4,85.8,85.3,58.6,34.43,73.33,0.53,0.83,0.3,0.93,,99.4,0.0,99.7,99.07,99.47,0.07,0.0,0.0,0.0,0.53,2.19,2.5,1.66,3.33,0.53
2019,41132,Campoalegre,41,Huila,3790.0,Huila (ETC),6529,90.43,90.38,68.44,84.33,76.71,40.04,100.81,97.61,102.32,110.22,79.7,,,4.53,4.58,4.13,5.55,2.3,87.3,0.0,91.26,79.72,91.94,8.17,0.0,4.6,14.73,5.76,1.53,0.0,1.07,2.55,0.96
2013,47189,Ciénaga,47,Magdalena,3795.0,Ciénaga,27658,92.59,92.3,55.9,87.3,69.0,34.4,111.9,128.9,136.9,99.1,67.1,33.95,26.53,1.83,0.98,1.65,2.4,1.57,98.17,0.0,98.35,97.6,98.43,0.0,0.0,0.0,0.0,0.0,0.68,0.65,0.52,1.01,0.29
2018,20178,Chiriguaná,20,Cesar,3779.0,Cesar (ETC),6893,135.56,98.09,66.23,92.07,74.71,33.3,109.66,131.95,121.84,109.09,64.65,,,4.59,6.25,4.26,5.12,2.42,93.89,0.0,93.98,93.45,95.33,1.51,0.0,1.76,1.44,2.25,2.08,0.85,1.22,3.89,0.97
2021,15638,Sáchica,15,Boyacá,3.7689999999999997,Boyacá (ETC),1.191,74.9,74.9,75.0,74.7,63.45,45.88,76.57,87.04,80.83,78.59,55.67,,,6.93,6.76,2.9,9.93,11.7,87.2,0.0,90.97,83.09,81.91,5.87,0.0,6.13,6.99,6.38,0.93,1.35,1.61,0.37,0.0
2012,85325,San Luis de Palenque,85,Casanare,3825.0,Casanare (ETC),1916,83.61,83.6,50.3,86.0,68.2,21.6,91.2,60.4,106.8,100.0,48.8,26.76,24.24,6.93,6.67,7.38,7.29,2.86,82.79,0.0,85.57,73.77,93.57,10.28,0.0,7.05,18.94,3.57,,0.0,5.15,,
2014,41551,Pitalito,41,Huila,4436.0,Pitalito,30573,99.03,83.67,68.43,79.4,64.87,47.7,118.34,92.7,125.86,130.69,88.13,29.67,19.23,3.62,3.59,1.98,5.62,4.75,95.89,0.0,98.01,93.35,93.99,0.48,0.0,0.01,1.03,1.26,2.43,0.05,2.35,3.35,1.26
2019,76377,La Cumbre,76,Valle del Cauca,3817.0,Valle del Cauca (ETC),2864,75.07,75.07,54.13,65.66,71.39,40.12,87.33,76.15,77.51,106.57,76.85,,,4.37,4.55,2.73,5.52,5.31,85.55,0.0,91.69,77.35,87.81,10.09,0.0,5.58,17.13,6.88,1.58,2.6,0.59,2.32,1.56
2020,8832,Tubará,8,Atlántico,3764.0,Atlántico (ETC),3675,61.33,61.33,49.69,62.64,47.65,27.24,66.64,69.75,74.86,64.49,48.01,,,3.4,3.45,3.02,3.38,4.84,77.15,8.87,80.42,69.48,77.85,19.45,8.87,16.56,27.14,17.3,7.09,0.49,7.31,9.87,3.46
2011,19300,Guachene,19,Cauca,3777.0,Cauca (ETC),5339,68.55,68.6,40.1,66.9,52.8,27.6,76.4,57.4,84.3,78.5,61.4,20.47,50.0,1.76,,0.37,3.11,4.48,91.04,1.17,90.05,91.7,88.91,7.19,1.17,9.58,5.19,6.61,1.28,0.0,2.05,0.89,0.0
2015,5607,Retiro,5,Antioquia,3758.0,Antioquia (ETC),3970,112.52,109.87,62.54,110.52,89.05,56.6,122.85,96.28,131.81,124.5,109.97,23.49,76.47,1.49,2.7,1.34,1.4,1.68,91.01,0.0,90.47,89.12,94.68,7.5,0.0,8.19,9.48,3.64,2.31,0.0,2.16,3.45,1.12
2011,47258,El Piñon,47,Magdalena,3794.0,Magdalena (ETC),4389,93.07,93.1,57.3,97.1,69.0,47.8,100.6,72.6,117.9,94.5,81.5,23.21,31.58,2.13,0.37,0.86,3.77,4.38,96.51,0.0,97.23,95.23,95.02,1.36,0.0,1.91,1.0,0.6,1.57,1.85,2.09,1.23,0.0
2017,19318,Guapi,19,Cauca,3777.0,Cauca (ETC),9139,78.8,78.85,43.09,76.59,40.23,13.06,103.81,94.5,136.55,87.36,57.17,23.279,7.46,2.99,0.68,1.78,5.82,4.23,91.26,3.11,93.32,86.18,88.97,5.75,3.11,4.91,8.0,6.8,0.0,0.0,0.0,0.0,0.0
2023,76520,Palmira,76,Valle del Cauca,3822.0,Palmira,61728,80.33,80.22,56.98,76.39,71.1,45.4,90.68,78.97,89.61,98.88,82.79,,,4.83,4.34,4.71,5.76,2.84,85.47,0.18,88.0,79.15,89.45,9.7,0.18,7.29,15.08,7.71,8.79,2.63,8.31,12.21,4.11
2018,20175,Chimichagua,20,Cesar,3779.0,Cesar (ETC),9205,106.19,98.9,76.15,90.33,71.28,38.77,114.04,156.23,129.05,103.56,74.18,,,2.44,2.37,2.8,2.31,1.1,90.46,5.92,92.46,86.11,92.94,7.1,5.92,4.75,11.57,5.95,0.07,0.0,0.04,0.17,0.0
2021,15723,Sativasur,15,Boyacá,3.7689999999999997,Boyacá (ETC),193,100.52,100.52,27.78,86.08,109.52,78.79,105.18,27.78,93.67,138.1,112.12,,,0.99,0.0,2.7,0.0,0.0,88.18,0.0,83.78,87.36,97.3,10.84,0.0,13.51,12.64,2.7,2.96,0.0,1.35,5.75,0.0
2019,5088,Bello,5,Antioquia,3760.0,Bello,88495,84.98,84.93,63.37,82.33,75.59,38.86,98.39,76.99,97.43,113.53,81.78,,,4.03,4.33,3.73,4.79,2.4,87.38,0.69,89.77,81.93,92.06,8.6,0.69,6.5,13.28,5.54,1.57,0.18,1.49,2.18,0.62
2015,50711,Vistahermosa,50,Meta,3796.0,Meta (ETC),6353,65.92,65.92,40.21,69.52,48.82,14.8,74.0,66.55,93.66,68.91,34.29,25.82,42.03,6.87,4.12,3.8,13.11,7.14,89.66,0.0,93.67,80.38,91.35,3.47,0.0,2.53,6.52,1.5,0.14,0.0,0.17,0.15,0.0
2013,13268,El Peñón,13,Bolívar,3767.0,Bolívar (ETC),2496,83.01,82.9,54.5,79.0,56.8,20.9,94.1,130.5,110.2,87.1,48.8,20.09,31.58,0.52,0.72,0.53,0.43,0.53,99.48,0.0,99.47,99.57,99.47,0.0,0.0,0.0,0.0,0.0,2.74,2.52,3.17,2.87,0.0
2022,19622,Rosas,19,Cauca,3777.0,Cauca (ETC),1827,79.31,79.31,44.29,81.19,69.23,41.18,89.11,73.57,93.08,92.95,80.0,,,1.84,1.94,1.04,2.13,3.43,91.79,0.97,94.64,88.65,88.84,6.36,0.97,4.32,9.22,7.73,6.04,0.97,7.28,7.43,1.29
2017,41807,Timaná,41,Huila,3790.0,Huila (ETC),4893,85.7,85.71,54.24,83.19,76.96,45.71,97.16,79.66,96.28,109.12,84.44,27.174,51.35,4.34,1.28,1.91,8.49,3.56,85.17,0.0,92.67,72.49,84.22,10.5,0.0,5.42,19.02,12.22,1.53,0.32,1.22,2.4,0.89
2014,15224,Cucaita,15,Boyacá,3769.0,Boyacá (ETC),1191,70.53,92.82,72.46,86.16,79.28,66.44,75.99,71.88,71.95,81.82,76.02,23.22,42.86,0.57,,0.56,0.65,0.71,95.75,1.45,94.07,96.42,97.14,3.68,1.45,5.37,2.93,2.14,0.8,0.0,0.85,0.98,0.71
2013,54109,Bucarasica,54,Norte de Santander,3801.0,Norte de Santander (ETC),1175,99.57,99.6,65.0,101.2,70.8,35.5,110.6,113.4,132.7,110.5,56.0,15.0,0.0,2.07,1.82,1.7,2.72,2.41,97.02,0.0,98.3,94.57,96.39,0.91,0.0,0.0,2.72,1.2,1.57,2.73,1.55,1.63,0.0
2013,54820,Toledo,54,Norte de Santander,3801.0,Norte de Santander (ETC),4140,88.6,88.6,58.0,89.8,65.0,38.4,97.7,105.1,117.6,84.8,71.7,41.42,0.0,3.27,3.97,3.3,3.6,1.55,96.62,0.28,96.55,96.4,98.45,0.1,0.28,0.15,0.0,0.0,0.05,0.0,0.05,0.09,0.0
2016,76863,Versalles,76,Valle del Cauca,3817.0,Valle del Cauca (ETC),1328,83.8,83.81,62.93,73.98,77.01,45.28,95.48,88.79,89.56,111.95,81.13,23.69,40.0,7.08,2.91,6.13,8.7,8.51,88.8,0.0,90.12,84.67,90.78,4.13,0.0,3.75,6.64,0.71,0.0,0.0,0.0,0.0,0.0
2017,5002,Abejorral,5,Antioquia,3758.0,Antioquia (ETC),3744,79.8,79.75,46.2,83.47,60.79,35.39,86.32,71.12,103.94,80.89,58.76,19.315,12.5,3.79,5.13,2.95,4.81,4.14,89.32,0.0,89.76,87.34,88.85,6.89,0.0,7.29,7.85,7.01,6.64,3.85,7.35,7.32,2.87
2020,50450,Puerto Concordia,50,Meta,3796.0,Meta (ETC),2225,89.03,89.03,45.95,87.69,67.47,32.48,97.39,76.76,116.03,97.72,57.55,,,1.62,1.41,1.28,1.6,3.93,88.95,0.0,90.67,84.13,89.33,9.43,0.0,8.05,14.26,6.74,3.57,0.0,4.67,3.34,0.56
2021,68245,El Guacamayo,68,Santander,3.8080000000000003,Santander (ETC),409,75.06,75.06,36.67,66.67,77.62,57.75,79.71,60.0,73.33,92.31,77.46,,,0.92,0.0,2.48,0.0,0.0,95.71,0.0,96.69,92.42,100.0,3.37,0.0,0.83,7.58,0.0,1.23,0.0,0.83,2.27,0.0
2021,5021,Alejandría,5,Antioquia,3.758,Antioquia (ETC),875,79.09,79.09,62.2,73.54,79.21,46.32,89.83,65.85,81.75,108.24,88.97,,,2.78,1.85,1.62,4.56,2.15,87.76,0.0,89.32,81.75,93.55,9.46,0.0,9.06,13.69,4.3,2.09,0.0,2.59,2.66,0.0
2020,73217,Coyaima,73,Tolima,3815.0,Tolima (ETC),5001,105.62,105.62,68.77,97.77,95.3,59.4,111.94,95.21,116.26,123.38,85.87,,,0.67,0.0,0.5,0.97,0.74,97.68,0.0,99.21,96.12,95.7,1.65,0.0,0.29,2.91,3.56,2.52,0.0,3.25,2.62,1.04
2021,41244,Elías,41,Huila,3.79,Huila (ETC),929,82.56,82.56,47.22,79.0,79.56,55.06,86.87,73.61,89.24,95.28,70.25,,,8.07,5.66,3.82,13.95,6.31,87.33,0.0,92.65,78.07,92.79,4.6,0.0,3.53,7.97,0.9,6.69,0.0,2.65,13.86,2.7
2020,68895,Zapatoca,68,Santander,3808.0,Santander (ETC),1836,99.18,99.02,56.58,97.92,90.75,48.82,108.71,72.37,113.88,120.78,88.89,,,1.57,1.06,1.31,1.74,2.5,86.03,5.32,90.28,80.66,80.63,12.4,5.32,8.41,17.6,16.88,2.14,0.0,3.02,1.92,0.0
2016,19533,Piamonte,19,Cauca,3777.0,Cauca (ETC),1857,102.5,102.53,67.92,119.18,64.36,19.35,110.66,118.87,160.85,87.46,35.71,22.623,11.32,5.21,3.17,3.78,7.74,11.67,86.23,0.0,88.08,79.25,81.67,8.56,0.0,8.14,13.02,6.67,5.01,0.0,5.26,6.98,1.67
2016,19760,Sotara,19,Cauca,3777.0,Cauca (ETC),3472,45.1,45.07,26.76,41.44,39.34,22.01,55.13,50.0,61.63,57.89,37.8,12.533,24.24,2.2,2.82,0.69,3.18,3.8,94.22,2.82,96.54,92.21,92.41,3.58,2.82,2.77,4.61,3.8,0.92,0.0,0.83,1.11,1.27
2018,15753,Soatá,15,Boyacá,3769.0,Boyacá (ETC),1577,113.9,91.44,70.59,83.02,87.02,65.45,102.47,94.12,92.77,108.59,116.36,,,0.19,0.0,0.34,0.17,0.0,93.65,0.0,97.29,91.4,88.21,6.16,0.0,2.37,8.43,11.79,0.06,0.0,0.0,0.17,0.0
2023,66170,Dosquebradas,66,Risaralda,3807.0,Dosquebradas,34555,85.68,85.6,64.8,83.62,76.18,48.91,93.26,86.5,94.95,99.79,79.76,,,5.16,5.98,3.88,6.96,3.99,86.27,0.39,90.82,77.74,90.89,8.57,0.39,5.3,15.3,5.12,9.36,2.65,7.76,14.7,3.41
2012,25769,Subachoque,25,Cundinamarca,3785.0,Cundinamarca (ETC),3189,131.61,131.4,71.1,,118.3,57.4,151.3,112.4,171.0,168.6,89.3,17.77,83.33,4.63,1.53,1.69,7.52,6.29,95.18,0.0,98.31,92.48,92.29,0.19,0.0,0.0,0.0,1.43,1.3,0.0,0.56,2.29,1.14
2021,54174,Chitagá,54,Norte de Santander,3.801,Norte de Santander (ETC),2.723,77.01,77.01,56.14,77.7,68.43,34.22,81.01,74.12,92.01,84.77,49.11,,,5.53,2.96,3.63,7.29,10.41,89.17,0.0,87.69,90.1,86.88,5.3,0.0,8.68,2.6,2.71,5.39,0.0,7.44,3.91,4.98
2022,15632,Saboyá,15,Boyacá,3769.0,Boyacá (ETC),2828,76.27,76.2,49.34,69.67,72.48,53.19,84.41,66.81,78.08,94.96,87.45,,,1.55,0.0,0.97,1.8,3.04,91.91,0.0,94.53,87.53,92.4,6.54,0.0,4.5,10.67,4.56,7.07,0.0,6.45,9.13,6.69
2011,15822,Tota,15,Boyacá,3769.0,Boyacá (ETC),1275,96.71,96.7,99.0,109.9,73.0,31.6,115.1,111.6,126.6,131.5,58.3,30.08,50.0,2.47,1.89,2.01,2.76,4.24,93.86,0.0,92.96,93.55,95.76,3.67,0.0,5.03,3.69,0.0,0.24,0.0,0.0,0.69,0.0
2018,94888,Morichal,94,Guainía,3829.0,Guainía (ETC),330,29.93,38.18,19.35,39.53,18.1,0.0,47.58,32.26,61.24,48.28,22.22,,,14.1,30.0,15.19,9.09,16.67,72.44,0.0,67.09,78.18,83.33,13.46,0.0,17.72,12.73,0.0,6.37,0.0,10.13,1.79,8.33
2011,25377,La Calera,25,Cundinamarca,3785.0,Cundinamarca (ETC),5511,134.17,131.3,76.2,122.7,115.9,68.3,141.3,129.0,148.7,146.7,118.7,15.53,40.63,3.46,5.02,2.13,4.0,5.93,95.8,0.0,97.87,95.92,88.35,0.74,0.0,0.0,0.08,5.71,2.04,0.0,0.77,4.48,1.32
2020,81736,Saravena,81,Arauca,3824.0,Arauca (ETC),14258,85.17,85.17,61.76,82.01,70.77,35.46,95.01,90.86,102.75,99.06,69.35,,,3.35,1.74,3.0,4.05,4.21,87.23,6.23,89.56,82.18,88.81,9.41,6.23,7.45,13.77,6.98,3.54,2.66,2.45,5.96,1.35
2014,5380,La Estrella,5,Antioquia,3758.0,Antioquia (ETC),12479,97.95,90.83,67.95,87.34,75.5,62.86,106.8,96.95,108.23,118.74,84.85,27.77,100.0,2.15,2.53,1.61,2.52,2.71,97.85,0.0,98.39,97.48,97.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,13580,Regidor,13,Bolívar,3767.0,Bolívar (ETC),2948,34.63,89.01,43.86,75.0,70.11,54.95,38.91,44.19,42.94,38.93,24.56,10.78,50.0,0.45,,0.37,0.85,,99.55,0.0,99.63,99.15,100.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,1.65,0.28,0.0
2017,52560,Potosí,52,Nariño,3798.0,Nariño (ETC),1992,98.7,98.74,65.9,99.51,83.15,50.68,132.78,89.6,114.69,126.77,203.81,16.642,55.56,0.34,0.65,0.21,0.43,0.39,97.9,0.0,98.08,96.7,99.61,1.76,0.0,1.71,2.87,0.0,1.76,0.0,0.96,3.87,0.0
2020,41885,Yaguará,41,Huila,3790.0,Huila (ETC),1475,84.47,84.47,48.0,75.48,82.27,52.24,95.12,80.8,86.61,114.02,86.53,,,0.53,0.99,0.19,0.81,0.56,93.28,0.0,97.58,87.37,93.33,6.19,0.0,2.23,11.81,6.11,7.41,0.0,3.72,15.07,1.67
2011,50223,Cubarral,50,Meta,3796.0,Meta (ETC),1322,96.9,96.9,68.1,91.4,95.0,39.3,103.8,71.7,112.5,121.4,67.1,26.79,20.0,4.85,4.94,4.1,6.82,1.39,93.48,0.0,93.77,91.32,98.61,1.67,0.0,2.13,1.86,0.0,0.0,0.0,0.0,0.0,0.0
2023,52399,La Unión,52,Nariño,3798.0,Nariño (ETC),5062,88.29,88.23,67.55,87.0,79.82,54.44,100.14,88.86,95.07,107.16,103.82,,,2.06,2.22,2.24,1.9,1.83,93.62,1.39,96.24,89.68,94.34,4.33,1.39,1.52,8.42,3.82,6.77,3.33,3.0,12.09,6.27
2021,20011,Aguachica,20,Cesar,3.779,Cesar (ETC),26.311,84.15,84.03,55.57,83.88,68.41,40.51,92.26,81.22,100.85,93.85,72.91,,,1.2,1.23,1.15,1.25,1.21,84.54,1.92,86.38,78.03,89.17,14.26,1.92,12.46,20.72,9.62,5.47,1.17,4.23,8.88,2.77
2021,8372,Juan de Acosta,8,Atlántico,3.764,Atlántico (ETC),4.661,80.67,80.61,64.38,78.25,67.03,42.84,85.24,83.97,95.33,83.74,63.48,,,3.82,1.38,3.6,5.57,1.42,83.71,0.0,82.33,80.88,86.99,12.47,0.0,14.08,13.54,11.59,6.22,1.04,6.64,7.19,5.28
